ID,LID,TLID,SignID,LinkID
1,4265,0,0,1806
2,4266,0,0,1718
3,4267,0,0,2356
4,4268,0,0,2138
5,4269,0,0,2494
6,4270,0,0,2489
7,4271,0,0,2513
8,4272,0,0,2788
9,4273,0,0,3229
10,4274,0,0,3488
11,4275,0,0,3501
12,4276,0,0,5006
13,4277,0,0,5634
14,4278,0,0,5900
15,4279,0,0,6840
16,4280,0,0,6759
17,4281,0,0,6759
18,4282,0,0,7430
19,4283,15,0,7705
20,4284,11,0,7678
21,4285,0,0,8137
22,4286,7,0,8741
23,4287,3,0,8813
24,4288,0,0,9532
25,4289,0,0,9610
26,4290,0,0,9595
27,4291,0,0,9765
28,4292,0,0,9783
29,4293,0,0,9550
30,4294,0,0,10604
31,4295,20,0,10987
32,4296,0,0,11009
33,4297,0,0,12784
34,4298,0,0,12675
35,4299,0,0,447
36,4300,0,0,504
37,4301,0,0,5600
38,4302,0,0,12996
39,4303,0,0,8984
40,4304,0,0,10783
41,4305,0,0,9856
42,4306,0,0,13021
43,4307,0,0,6614
44,4308,0,0,12870
