NID,PID
1,12
2,13
3,39
4,40
20,73
21,74
22,75
23,76
24,77
25,78
26,79
27,80
28,81
29,82
30,83
31,84
32,85
33,86
34,87
35,88
36,89
37,90
38,91
39,92
40,93
41,94
42,95
43,96
44,97
45,98
46,99
47,100
48,101
49,102
50,103
51,104
52,105
53,106
54,107
55,108
56,109
57,110
58,111
59,112
60,113
61,114
62,115
63,116
64,117
65,118
66,119
67,120
68,121
69,122
70,123
71,124
72,125
73,126
74,127
75,128
76,129
77,130
78,131
79,132
80,133
81,134
82,135
83,136
84,137
85,138
86,139
87,140
88,141
89,142
90,143
91,144
92,145
93,146
94,147
95,148
96,149
97,150
98,151
99,152
100,153
101,154
102,155
103,156
104,157
105,158
106,159
107,160
108,161
109,162
110,163
111,164
112,165
113,166
114,167
115,168
116,169
117,170
118,171
119,172
120,173
121,174
122,175
123,176
124,177
125,178
126,179
127,180
128,181
129,182
130,183
131,184
132,185
133,186
134,187
135,188
136,189
137,190
138,191
139,192
140,193
141,194
142,195
143,196
144,197
145,198
146,199
147,200
148,201
149,202
150,203
151,204
152,205
153,206
154,207
155,208
156,209
157,210
158,211
159,212
160,213
161,214
162,215
163,216
164,217
165,218
166,219
167,220
168,221
169,222
170,223
171,224
172,225
173,226
174,227
175,228
176,229
177,230
178,231
179,232
180,233
181,234
182,235
183,236
184,237
185,238
186,239
187,240
188,241
189,242
190,243
191,244
192,245
193,246
194,247
195,248
196,249
197,250
198,251
199,252
200,253
201,254
202,255
203,256
204,257
205,258
206,259
207,260
208,261
209,262
210,263
211,264
212,265
213,266
214,267
215,268
216,269
217,270
218,271
219,272
220,273
221,274
222,275
223,276
224,277
272,408
273,409
274,410
275,411
276,412
277,413
278,414
279,415
280,416
281,417
282,418
283,419
284,420
285,421
286,422
287,423
288,424
289,425
290,426
291,427
292,428
293,429
294,430
295,431
296,432
297,433
298,434
299,435
300,436
301,437
302,438
303,439
304,440
305,441
306,442
307,443
308,444
309,445
310,446
311,447
312,448
313,449
314,450
315,451
316,452
317,453
318,454
319,455
320,456
321,457
322,458
323,459
324,460
325,461
326,462
327,463
328,464
329,465
330,466
331,467
332,468
333,469
334,470
335,471
336,472
337,473
338,474
339,475
340,476
341,477
342,478
343,479
344,480
345,481
346,482
347,483
348,484
349,485
350,486
351,487
352,488
353,489
354,490
355,491
356,492
357,493
358,494
359,495
360,496
361,497
362,498
363,499
364,500
365,501
366,502
367,503
368,504
369,505
370,506
371,507
372,508
373,509
374,510
375,511
376,512
377,513
378,514
379,515
380,516
381,517
