PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
12,32.595512,129.2959268,-1.616,-150.319,-18.996,1,4929,33,99
13,32.5955152,129.2959274,-1.616,-149.33,-18.848,1,4929,33,99
29,32.5954958,129.2959741,-10.48,-155.311,-6.714,1,4929,33,99
29,32.5954958,129.2959741,-10.48,-155.311,-6.714,1,4929,33,99
30,32.5954768,129.2959714,-10.48,-161.176,-7.433,1,4929,33,99
31,32.5954334,129.3003458,-0.771,-174.538,89.75,1,4929,34,90
32,32.5954494,129.3003482,-0.771,-169.6,90.372,1,4929,34,90
39,32.5955122,129.2959357,-10.303,-150.265,-16.69,1,4929,33,99
40,32.5955154,129.2959363,-10.303,-149.276,-16.542,1,4929,33,99
41,32.5958112,129.3000082,-5.575,-58.151,2.131,1,4929,34,90
42,32.5958302,129.3000122,-5.575,-52.29,3.158,1,4929,34,90
43,32.5957922,129.3000043,-5.575,-64.012,1.104,1,4929,34,90
73,32.5955186,129.2959368,-10.303,-148.287,-16.394,1,4929,33,99
74,32.5955218,129.2959374,-10.303,-147.298,-16.246,1,4929,33,99
75,32.595525,129.295938,-10.303,-146.309,-16.098,1,4929,33,99
76,32.5955282,129.2959386,-10.303,-145.32,-15.95,1,4929,33,99
77,32.5955314,129.2959391,-10.303,-144.331,-15.802,1,4929,33,99
78,32.5955347,129.2959397,-10.303,-143.342,-15.654,1,4929,33,99
79,32.5955379,129.2959403,-10.303,-142.353,-15.506,1,4929,33,99
80,32.5955411,129.2959408,-10.303,-141.364,-15.358,1,4929,33,99
81,32.5955443,129.2959414,-10.303,-140.375,-15.21,1,4929,33,99
82,32.5955475,129.295942,-10.303,-139.386,-15.062,1,4929,33,99
83,32.5955507,129.2959425,-10.303,-138.397,-14.914,1,4929,33,99
84,32.5955539,129.2959431,-10.303,-137.408,-14.766,1,4929,33,99
85,32.5955571,129.2959437,-10.303,-136.419,-14.618,1,4929,33,99
86,32.5955603,129.2959443,-10.303,-135.43,-14.47,1,4929,33,99
87,32.5955636,129.2959448,-10.303,-134.441,-14.322,1,4929,33,99
88,32.5955668,129.2959454,-10.303,-133.452,-14.174,1,4929,33,99
89,32.59557,129.295946,-10.303,-132.463,-14.026,1,4929,33,99
90,32.5955732,129.2959465,-10.303,-131.474,-13.878,1,4929,33,99
91,32.5955764,129.2959471,-10.303,-130.485,-13.73,1,4929,33,99
92,32.5955796,129.2959477,-10.303,-129.496,-13.582,1,4929,33,99
93,32.5955828,129.2959482,-10.303,-128.507,-13.434,1,4929,33,99
94,32.595586,129.2959488,-10.303,-127.518,-13.286,1,4929,33,99
95,32.5955892,129.2959494,-10.303,-126.529,-13.138,1,4929,33,99
96,32.5955925,129.29595,-10.303,-125.54,-12.99,1,4929,33,99
97,32.5955957,129.2959505,-10.303,-124.551,-12.842,1,4929,33,99
98,32.5955989,129.2959511,-10.303,-123.562,-12.694,1,4929,33,99
99,32.5956021,129.2959517,-10.303,-122.573,-12.546,1,4929,33,99
100,32.5956053,129.2959522,-10.303,-121.584,-12.398,1,4929,33,99
101,32.5956085,129.2959528,-10.303,-120.595,-12.25,1,4929,33,99
102,32.5956117,129.2959534,-10.303,-119.606,-12.102,1,4929,33,99
103,32.5956149,129.2959539,-10.303,-118.617,-11.954,1,4929,33,99
104,32.5956181,129.2959545,-10.303,-117.628,-11.806,1,4929,33,99
105,32.5956213,129.2959551,-10.303,-116.639,-11.658,1,4929,33,99
106,32.5956246,129.2959557,-10.303,-115.65,-11.51,1,4929,33,99
107,32.5956278,129.2959562,-10.303,-114.661,-11.362,1,4929,33,99
108,32.595631,129.2959568,-10.303,-113.672,-11.214,1,4929,33,99
109,32.5956342,129.2959574,-10.303,-112.683,-11.066,1,4929,33,99
110,32.5956374,129.2959579,-10.303,-111.694,-10.918,1,4929,33,99
111,32.5956406,129.2959585,-10.303,-110.705,-10.77,1,4929,33,99
112,32.5956438,129.2959591,-10.303,-109.716,-10.622,1,4929,33,99
113,32.595647,129.2959596,-10.303,-108.727,-10.474,1,4929,33,99
114,32.5956502,129.2959602,-10.303,-107.738,-10.326,1,4929,33,99
115,32.5956535,129.2959608,-10.303,-106.749,-10.178,1,4929,33,99
116,32.5956567,129.2959614,-10.303,-105.76,-10.03,1,4929,33,99
117,32.5956599,129.2959619,-10.303,-104.771,-9.882,1,4929,33,99
118,32.5956631,129.2959625,-10.303,-103.782,-9.734,1,4929,33,99
119,32.5956663,129.2959631,-10.303,-102.793,-9.586,1,4929,33,99
120,32.5956695,129.2959636,-10.303,-101.804,-9.438,1,4929,33,99
121,32.5956727,129.2959642,-10.303,-100.815,-9.29,1,4929,33,99
122,32.5956759,129.2959648,-10.303,-99.826,-9.142,1,4929,33,99
123,32.5956791,129.2959654,-10.303,-98.837,-8.994,1,4929,33,99
124,32.5956823,129.2959659,-10.303,-97.848,-8.846,1,4929,33,99
125,32.5956856,129.2959665,-10.303,-96.859,-8.698,1,4929,33,99
126,32.5956888,129.2959671,-10.303,-95.87,-8.55,1,4929,33,99
127,32.595692,129.2959676,-10.303,-94.881,-8.402,1,4929,33,99
128,32.5956952,129.2959682,-10.303,-93.892,-8.254,1,4929,33,99
129,32.5956984,129.2959688,-10.303,-92.903,-8.106,1,4929,33,99
130,32.5957016,129.2959693,-10.303,-91.914,-7.958,1,4929,33,99
131,32.5957048,129.2959699,-10.303,-90.925,-7.81,1,4929,33,99
132,32.595708,129.2959705,-10.303,-89.936,-7.662,1,4929,33,99
133,32.5957112,129.2959711,-10.303,-88.947,-7.514,1,4929,33,99
134,32.5957145,129.2959716,-10.303,-87.958,-7.366,1,4929,33,99
135,32.5957177,129.2959722,-10.303,-86.969,-7.218,1,4929,33,99
136,32.5957209,129.2959728,-10.303,-85.98,-7.07,1,4929,33,99
137,32.5957241,129.2959733,-10.303,-84.991,-6.922,1,4929,33,99
138,32.5957273,129.2959739,-10.303,-84.002,-6.774,1,4929,33,99
139,32.5957305,129.2959745,-10.303,-83.013,-6.626,1,4929,33,99
140,32.5957337,129.295975,-10.303,-82.024,-6.478,1,4929,33,99
141,32.5957369,129.2959756,-10.303,-81.035,-6.33,1,4929,33,99
142,32.5957401,129.2959762,-10.303,-80.046,-6.182,1,4929,33,99
143,32.5957434,129.2959768,-10.303,-79.057,-6.034,1,4929,33,99
144,32.5957466,129.2959773,-10.303,-78.068,-5.886,1,4929,33,99
145,32.5957498,129.2959779,-10.303,-77.079,-5.738,1,4929,33,99
146,32.595753,129.2959785,-10.303,-76.09,-5.59,1,4929,33,99
147,32.5957562,129.295979,-10.303,-75.101,-5.442,1,4929,33,99
148,32.5957594,129.2959796,-10.303,-74.112,-5.294,1,4929,33,99
149,32.5957626,129.2959802,-10.303,-73.123,-5.146,1,4929,33,99
150,32.5957658,129.2959807,-10.303,-72.134,-4.998,1,4929,33,99
