PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-0.16192999999998392,-93.10977978305891,-24.204759168060264,0,0,0,0
1,0,0,-0.16192999999998392,-93.10977978305891,-24.204759168060264,0,0,0,0
2,0,0,-0.16192999999998392,-93.06656689243391,-24.016404675872764,0,0,0,0
3,0,0,-0.13292999999998756,-93.02359814243391,-23.827806043060264,0,0,0,0
4,0,0,-0.1039299999999912,-92.98038525180891,-23.639390515716514,0,0,0,0
5,0,0,-0.07692999999997596,-92.93717236118391,-23.450974988372764,0,0,0,0
6,0,0,-0.04592999999999847,-92.89420361118391,-23.262376355560264,0,0,0,0
7,0,0,-0.02392999999997869,-92.85099072055891,-23.073960828216514,0,0,0,0
8,0,0,0.010070000000013124,-92.80796093540266,-22.885606336029014,0,0,0,0
9,0,0,0.021070000000008804,-92.76480907993391,-22.697007703216514,0,0,0,0
10,0,0,0.04216999999999871,-92.72159618930891,-22.508592175872764,0,0,0,0
11,0,0,0.06607000000002472,-92.67856640415266,-22.319993543060264,0,0,0,0
12,0,0,0.09707000000000221,-92.63559765415266,-22.131578015716514,0,0,0,0
13,0,0,0.11217000000002031,-92.59238476352766,-21.943162488372764,0,0,0,0
14,0,0,0.11607000000000767,-92.54917187290266,-21.754563855560264,0,0,0,0
15,0,0,0.12107000000000312,-92.50620312290266,-21.566209363372764,0,0,0,0
16,0,0,0.12807000000000812,-92.46299023227766,-21.377610730560264,0,0,0,0
17,0,0,0.1343700000000183,-92.44876904087141,-21.184800671966514,0,0,0,0
18,0,0,0.1460700000000088,-92.43460888462141,-20.991990613372764,0,0,0,0
19,0,0,0.1530700000000138,-92.42038769321516,-20.799180554779014,0,0,0,0
20,0,0,0.16607000000001904,-92.40598339634016,-20.606370496185264,0,0,0,0
21,0,0,0.17907000000002427,-92.39176220493391,-20.413560437591514,0,0,0,0
22,0,0,0.19247000000001435,-92.37760204868391,-20.220811414154014,0,0,0,0
23,0,0,0.22107000000002586,-92.36338085727766,-20.028001355560264,0,0,0,0
24,0,0,0.244070000000022,-92.34915966587141,-19.835008191497764,0,0,0,0
25,0,0,0.2670700000000181,-92.33499950962141,-19.642198132904014,0,0,0,0
26,0,0,0.2880700000000047,-92.32059521274641,-19.449388074310264,0,0,0,0
27,0,0,0.31117000000000417,-92.30637402134016,-19.256578015716514,0,0,0,0
28,0,0,0.33207000000001585,-92.29215282993391,-19.063767957122764,0,0,0,0
29,0,0,0.36577000000002613,-92.27799267368391,-18.870957898529014,0,0,0,0
30,0,0,0.39507000000000403,-92.26377148227766,-18.678208875091514,0,0,0,0
31,0,0,0.43307000000001494,-92.24961132602766,-18.485398816497764,0,0,0,0
32,0,0,0.46507000000002563,-92.27695507602766,-18.306993054779014,0,0,0,0
33,0,0,0.5010699999999986,-92.30435986118391,-18.129014539154014,0,0,0,0
