NID,PID
1,12
2,13
3,39
4,40
5,58
6,59
7,60
8,61
9,62
10,63
11,64
12,65
13,66
14,67
15,68
16,69
17,70
18,71
19,72
20,73
21,74
22,75
23,76
24,77
25,78
26,79
27,80
28,81
29,82
30,83
31,84
32,85
33,86
34,87
35,88
36,89
37,90
38,91
39,92
40,93
41,94
42,95
43,96
44,97
45,98
46,99
47,100
48,101
49,102
50,103
51,104
52,105
53,106
54,107
55,108
56,109
57,110
58,111
59,112
60,113
61,114
62,115
63,116
64,117
65,118
66,119
67,120
68,121
69,122
70,123
71,124
72,125
73,126
74,127
75,128
76,129
77,130
78,131
79,132
80,133
81,134
82,135
83,136
84,137
85,138
86,139
87,140
88,141
89,142
90,143
91,144
92,145
93,146
94,147
95,148
96,149
97,150
98,151
99,152
100,153
101,154
102,155
103,156
104,157
105,158
106,159
107,160
108,161
109,162
110,163
111,164
112,165
113,166
114,167
115,168
116,169
117,170
118,171
119,172
120,173
121,174
122,175
123,176
124,177
125,178
126,179
127,180
128,181
129,182
130,183
131,184
132,185
133,186
134,187
135,188
136,189
137,190
138,191
139,192
140,193
141,194
142,195
143,196
144,197
145,198
146,199
147,200
148,201
149,202
150,203
151,204
152,205
153,206
154,207
155,208
156,209
157,210
158,211
159,212
160,213
161,214
162,215
163,216
164,217
165,218
166,219
167,220
168,221
169,222
170,223
171,224
172,225
173,226
174,227
175,228
176,229
177,230
178,231
179,232
180,233
181,234
182,235
183,236
184,237
185,238
186,239
187,240
188,241
189,242
190,243
191,244
192,245
193,246
194,247
195,248
196,249
197,250
198,251
199,252
200,253
201,254
202,255
203,256
204,257
205,258
206,259
207,260
208,261
209,262
210,263
211,264
212,265
213,266
214,267
215,268
216,269
217,270
218,271
219,272
220,273
221,274
222,275
223,276
224,277
