PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
12,32.595512,129.2959268,-1.616,-150.319,-18.996,1,4929,33,99
13,32.5955152,129.2959274,-1.616,-149.33,-18.848,1,4929,33,99
25,33.0000027,129.3000084,-2.366,0.826,2.168,1,4929,44,0
25,33.0000027,129.3000084,-2.366,0.826,2.168,1,4929,44,0
26,32.5959989,129.3000458,-2.366,-0.345,11.879,1,4929,34,90
27,32.5953027,129.2959139,-2.366,-214.79,-22.352,1,4929,33,99
28,32.5953058,129.2958865,-2.366,-213.824,-29.468,1,4929,33,99
29,32.5954991,129.2959201,-0.771,-154.304,-20.728,1,4929,33,99
29,32.5954991,129.2959201,-0.771,-154.304,-20.728,1,4929,33,99
30,32.5954801,129.2959168,-0.771,-160.138,-21.591,1,4929,33,99
31,32.5954116,129.3005094,-0.771,-181.257,132.216,1,4929,34,90
32,32.5954257,129.3005113,-0.771,-176.894,132.722,1,4929,34,90
33,32.5955187,129.2959465,0.234,-148.26,-13.899,1,4929,33,99
33,32.5955187,129.2959465,0.234,-148.26,-13.899,1,4929,33,99
34,32.5954881,129.2959792,0.234,-157.673,-5.399,1,4929,33,99
35,32.5954909,129.2959407,0.234,-156.816,-15.397,1,4929,33,99
36,32.5954624,129.2959358,-10.868,-165.59,-16.676,1,4929,33,99
36,32.5954624,129.2959358,-10.868,-165.59,-16.676,1,4929,33,99
37,32.5954806,129.2959389,-10.868,-159.996,-15.866,1,4929,33,99
38,32.5954756,129.2959786,-10.868,-161.536,-5.55,1,4929,33,99
39,32.5955122,129.2959357,-10.303,-150.265,-16.69,1,4929,33,99
40,32.5955154,129.2959363,-10.303,-149.276,-16.542,1,4929,33,99
41,32.5958112,129.3000082,-5.575,-58.151,2.131,1,4929,34,90
42,32.5958302,129.3000122,-5.575,-52.29,3.158,1,4929,34,90
43,32.5957922,129.3000043,-5.575,-64.012,1.104,1,4929,34,90
44,32.5954992,129.2959201,-10.303,-154.265,-20.732,1,4929,33,99
44,32.5954992,129.2959201,-10.303,-154.265,-20.732,1,4929,33,99
45,32.5954955,129.2959505,-10.303,-155.408,-12.839,1,4929,33,99
46,32.5954766,129.295947,-10.303,-161.221,-13.758,1,4929,33,99
47,32.5954799,129.2959167,-10.303,-160.195,-21.622,1,4929,33,99
48,32.5954981,129.2959447,-3.075,-154.596,-14.349,1,4929,33,99
49,32.5955216,129.2959501,-3.075,-147.377,-12.946,1,4929,33,99
50,32.5954997,129.2959224,-3.075,-154.123,-20.148,1,4929,33,99
51,32.5954968,129.2959497,-3.075,-154.999,-13.065,1,4929,33,99
52,32.5954983,129.2959205,-3.075,-154.546,-20.645,1,4929,33,99
52,32.5954983,129.2959205,-3.075,-154.546,-20.645,1,4929,33,99
53,32.5954933,129.2959496,-3.075,-156.085,-13.089,1,4929,33,99
54,32.5954905,129.295949,-3.075,-156.943,-13.23,1,4929,33,99
55,32.5954949,129.2959194,-3.075,-155.576,-20.921,1,4929,33,99
56,32.5955005,129.295914,-3.075,-153.863,-22.326,1,4929,33,99
57,32.5955328,129.2959209,-3.075,-143.928,-20.535,1,4929,33,99
58,32.5955077,129.2959412,-3.075,-151.66,-15.273,1,4929,33,99
59,32.5955109,129.2959417,-3.075,-150.668,-15.145,1,4929,33,99
60,32.5955141,129.2959421,-3.075,-149.676,-15.017,1,4929,33,99
61,32.5955173,129.2959426,-3.075,-148.684,-14.889,1,4929,33,99
62,32.5955205,129.2959431,-3.075,-147.692,-14.761,1,4929,33,99
63,32.5955238,129.2959436,-3.075,-146.7,-14.633,1,4929,33,99
64,32.595527,129.2959441,-3.075,-145.708,-14.505,1,4929,33,99
65,32.5955302,129.2959446,-3.075,-144.716,-14.377,1,4929,33,99
66,32.5955334,129.2959451,-3.075,-143.724,-14.249,1,4929,33,99
67,32.5955366,129.2959456,-3.075,-142.732,-14.121,1,4929,33,99
68,32.5955399,129.2959461,-3.075,-141.74,-13.993,1,4929,33,99
69,32.5955431,129.2959466,-3.075,-140.748,-13.865,1,4929,33,99
70,32.5955463,129.2959471,-3.075,-139.756,-13.737,1,4929,33,99
71,32.5955495,129.2959476,-3.075,-138.764,-13.609,1,4929,33,99
72,32.595551,129.2959478,-3.075,-138.301,-13.549,1,4929,33,99
73,32.5955186,129.2959368,-10.303,-148.287,-16.394,1,4929,33,99
74,32.5955218,129.2959374,-10.303,-147.298,-16.246,1,4929,33,99
75,32.595525,129.295938,-10.303,-146.309,-16.098,1,4929,33,99
76,32.5955282,129.2959386,-10.303,-145.32,-15.95,1,4929,33,99
77,32.5955314,129.2959391,-10.303,-144.331,-15.802,1,4929,33,99
78,32.5955347,129.2959397,-10.303,-143.342,-15.654,1,4929,33,99
79,32.5955379,129.2959403,-10.303,-142.353,-15.506,1,4929,33,99
80,32.5955411,129.2959408,-10.303,-141.364,-15.358,1,4929,33,99
81,32.5955443,129.2959414,-10.303,-140.375,-15.21,1,4929,33,99
82,32.5955475,129.295942,-10.303,-139.386,-15.062,1,4929,33,99
83,32.5955507,129.2959425,-10.303,-138.397,-14.914,1,4929,33,99
84,32.5955539,129.2959431,-10.303,-137.408,-14.766,1,4929,33,99
85,32.5955571,129.2959437,-10.303,-136.419,-14.618,1,4929,33,99
86,32.5955603,129.2959443,-10.303,-135.43,-14.47,1,4929,33,99
87,32.5955636,129.2959448,-10.303,-134.441,-14.322,1,4929,33,99
88,32.5955668,129.2959454,-10.303,-133.452,-14.174,1,4929,33,99
89,32.59557,129.295946,-10.303,-132.463,-14.026,1,4929,33,99
90,32.5955732,129.2959465,-10.303,-131.474,-13.878,1,4929,33,99
91,32.5955764,129.2959471,-10.303,-130.485,-13.73,1,4929,33,99
92,32.5955796,129.2959477,-10.303,-129.496,-13.582,1,4929,33,99
93,32.5955828,129.2959482,-10.303,-128.507,-13.434,1,4929,33,99
94,32.595586,129.2959488,-10.303,-127.518,-13.286,1,4929,33,99
95,32.5955892,129.2959494,-10.303,-126.529,-13.138,1,4929,33,99
96,32.5955925,129.29595,-10.303,-125.54,-12.99,1,4929,33,99
97,32.5955957,129.2959505,-10.303,-124.551,-12.842,1,4929,33,99
98,32.5955989,129.2959511,-10.303,-123.562,-12.694,1,4929,33,99
99,32.5956021,129.2959517,-10.303,-122.573,-12.546,1,4929,33,99
100,32.5956053,129.2959522,-10.303,-121.584,-12.398,1,4929,33,99
101,32.5956085,129.2959528,-10.303,-120.595,-12.25,1,4929,33,99
102,32.5956117,129.2959534,-10.303,-119.606,-12.102,1,4929,33,99
103,32.5956149,129.2959539,-10.303,-118.617,-11.954,1,4929,33,99
104,32.5956181,129.2959545,-10.303,-117.628,-11.806,1,4929,33,99
105,32.5956213,129.2959551,-10.303,-116.639,-11.658,1,4929,33,99
106,32.5956246,129.2959557,-10.303,-115.65,-11.51,1,4929,33,99
